FileOpenedAction 1474457385221 BowlingGame.java 623 4 1 0
FileOpenedAction 1474457706956 Frame.java 671 6 7 0
FileOpenedAction 1474458009468 TestBowling.java 165 1 1 0
RefactoringAction 1474458023399 TestBowling.java ADD void test FIELD
RefactoringAction 1474458025989 TestBowling.java RENAME test=>void testFrame FIELD
RefactoringAction 1474458029608 TestBowling.java RENAME testFrame=>void testFrame_ FIELD
RefactoringAction 1474458039405 TestBowling.java RENAME testFrame_=>void testFrame_2 FIELD
RefactoringAction 1474458042494 TestBowling.java RENAME testFrame_2=>void testFrame_2_4_return FIELD
RefactoringAction 1474458047142 TestBowling.java RENAME testFrame_2_4_return=>void testFrame_2_4_retur FIELD
RefactoringAction 1474458049217 TestBowling.java RENAME testFrame_2_4_retur=>void testFrame_2_4_ FIELD
RefactoringAction 1474458052306 TestBowling.java RENAME testFrame_2_4_=>void testFrame_2_4_first FIELD
RefactoringAction 1474458054381 TestBowling.java RENAME testFrame_2_4_first=>void testFrame_2_4_firstscore FIELD
RefactoringAction 1474458056970 TestBowling.java RENAME testFrame_2_4_firstscore=>void testFrame_2_4_firstscoreequal FIELD
RefactoringAction 1474458058000 TestBowling.java RENAME testFrame_2_4_firstscoreequal=>void testFrame_2_4_firstscoreequals FIELD
RefactoringAction 1474458060059 TestBowling.java RENAME testFrame_2_4_firstscoreequals=>void testFrame_2_4_firstscoreequals2 FIELD
RefactoringAction 1474458062118 TestBowling.java RENAME testFrame_2_4_firstscoreequals2=>void testFrame_2_4_firstscoreEquals2 FIELD
RefactoringAction 1474458063663 TestBowling.java RENAME testFrame_2_4_firstscoreEquals2=>void testFrame_2_4_firstScoreEquals2 FIELD
RefactoringAction 1474458066752 TestBowling.java RENAME testFrame_2_4_firstScoreEquals2=>void testFrame_2_4_firstScoreEquals_2 FIELD
RefactoringAction 1474458068312 TestBowling.java RENAME testFrame_2_4_firstScoreEquals_2=>void testFrame_2_4_firstScoreEquals_2() METHOD
RefactoringAction 1474458144736 TestBowling.java ADD void testFrame_2_4_firstScoreEquals_2()/2 METHOD
RefactoringAction 1474458146281 TestBowling.java REMOVE testFrame_2_4_firstScoreEquals_2()/2 METHOD
RefactoringAction 1474458148355 TestBowling.java ADD void testFrame_2_4_firstScoreEquals_2()/2 METHOD
RefactoringAction 1474458151460 TestBowling.java RENAME testFrame_2_4_firstScoreEquals_2()/2=>void testFrame_2_4_firstScoreEquals_4() METHOD
RefactoringAction 1474458154564 TestBowling.java RENAME testFrame_2_4_firstScoreEquals_4()=>void testFrame_2_4_secondScoreEquals_4() METHOD
RefactoringAction 1474458203143 TestBowling.java ADD void testFrame FIELD
RefactoringAction 1474458204204 TestBowling.java RENAME testFrame=>void testFrame_ FIELD
RefactoringAction 1474458205249 TestBowling.java RENAME testFrame_=>void testFrame_11 FIELD
RefactoringAction 1474458207838 TestBowling.java RENAME testFrame_11=>void testFrame_11_ FIELD
RefactoringAction 1474458216606 TestBowling.java RENAME testFrame_11_=>void testFrame_11_0_secondScoreEquals FIELD
RefactoringAction 1474458220225 TestBowling.java RENAME testFrame_11_0_secondScoreEquals=>void testFrame_11_0_secondScoreEquals_ FIELD
RefactoringAction 1474458255278 TestBowling.java RENAME testFrame_11_0_secondScoreEquals_=>void testFrame_11_0_throwException FIELD
RefactoringAction 1474458258882 TestBowling.java RENAME testFrame_11_0_throwException=>void testFrame_11_0_throwBowlingException FIELD
RefactoringAction 1474458266104 TestBowling.java RENAME testFrame_11_0_throwBowlingException=>void testFrame_11_0_throwBowlingException() METHOD
RefactoringAction 1474458303825 TestBowling.java ADD void testFrame_11_0_throwBowlingException()/2 METHOD
RefactoringAction 1474458306415 TestBowling.java RENAME testFrame_11_0_throwBowlingException()/2=>void testFrame_5_0_throwBowlingException() METHOD
RefactoringAction 1474458307991 TestBowling.java RENAME testFrame_5_0_throwBowlingException()=>void testFrame_5_7_throwBowlingException() METHOD
RefactoringAction 1474458319363 TestBowling.java ADD void testFrame_5_7_throwBowlingException()/2 METHOD
RefactoringAction 1474458321422 TestBowling.java RENAME testFrame_5_7_throwBowlingException()/2=>void testFrame__7_throwBowlingException() METHOD
RefactoringAction 1474458323497 TestBowling.java RENAME testFrame__7_throwBowlingException()=>void testFrame_ FIELD
EditAction 1474458344214 Frame.java 833 6 8 0
